Question ID,Question Title,Question Slug,Difficulty Level,Success Rate,Total Submissions,Total Accepted,Likes,Dislikes,Topic Tagged text,Topic Tagged ID,Company Tags,Hints,Similar Questions ID,Similar Questions Text,Code Snippets (Python3 or All),Question Text
134,Gas Station,gas-station,Medium,46.4,2406606,1117238,12790,1306,"Array,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3",None,,1346,Maximize the Topmost Element After K Moves,,"There are n gas stations along a circular route, where the amount of gas at the ith station is gas[i]. You have a car with an unlimited gas tank and it costs cost[i] of gas to travel from the ith station to its next (i + 1)th station. You begin the journey with an empty tank at one of the gas stations. Given two integer arrays gas and cost, return the starting gas station's index if you can travel around the circuit once in the clockwise direction, otherwise return -1. If there exists a solution, it is guaranteed to be unique. "
135,Candy,candy,Hard,46.8,1838135,859550,8831,801,"Array,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3",None,,"2371,3122,3142","Minimize Maximum Value in a Grid,Minimum Number of Operations to Satisfy Conditions,Check if Grid Satisfies Conditions",,There are n children standing in a line. Each child is assigned a rating value given in the integer array ratings. You are giving candies to these children subjected to the following requirements: Return the minimum number of candies you need to have to distribute the candies to the children.
136,Single Number,single-number,Easy,76.0,4935707,3752307,17664,814,"Array,Bit Manipulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE5",None,Think about the XOR (^) operator's property.,"137,260,268,287,389,3158","Single Number II,Single Number III,Missing Number,Find the Duplicate Number,Find the Difference,Find the XOR of Numbers Which Appear Twice",,"Given a non-empty array of integers nums, every element appears twice except for one. Find that single one. You must implement a solution with a linear runtime complexity and use only constant extra space. "
137,Single Number II,single-number-ii,Medium,65.3,1144911,747516,8336,723,"Array,Bit Manipulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE5",None,,"136,260,3158","Single Number,Single Number III,Find the XOR of Numbers Which Appear Twice",,"Given an integer array nums where every element appears three times except for one, which appears exactly once. Find the single element and return it. You must implement a solution with a linear runtime complexity and use only constant extra space. "
138,Copy List with Random Pointer,copy-list-with-random-pointer,Medium,60.6,2700821,1637060,14815,1601,"Hash Table,Linked List","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=",None,"Just iterate the linked list and create copies of the nodes on the go. Since a node can be referenced from multiple nodes due to the random pointers, ensure you are not making multiple copies of the same node. You may want to use extra space to keep old_node ---> new_node mapping to prevent creating multiple copies of the same node. We can avoid using extra space for old_node ---> new_node mapping by tweaking the original linked list. Simply interweave the nodes of the old and copied list. For example:
Old List: A --> B --> C --> D
InterWeaved List: A --> A' --> B --> B' --> C --> C' --> D --> D' The interweaving is done using next pointers and we can make use of interweaved structure to get the correct reference nodes for random pointers.","133,1624,1634","Clone Graph,Clone Binary Tree With Random Pointer,Clone N-ary Tree",,"A linked list of length n is given such that each node contains an additional random pointer, which could point to any node in the list, or null. Construct a deep copy of the list. The deep copy should consist of exactly n brand new nodes, where each new node has its value set to the value of its corresponding original node. Both the next and random pointer of the new nodes should point to new nodes in the copied list such that the pointers in the original list and copied list represent the same list state. None of the pointers in the new list should point to nodes in the original list. For example, if there are two nodes X and Y in the original list, where X.random --> Y, then for the corresponding two nodes x and y in the copied list, x.random --> y. Return the head of the copied linked list. The linked list is represented in the input/output as a list of n nodes. Each node is represented as a pair of [val, random_index] where: Your code will only be given the head of the original linked list. "
139,Word Break,word-break,Medium,48.3,4313647,2083599,18025,863,"Hash Table,String,Dynamic Programming,Trie,Memoization","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjI3,VG9waWNUYWdOb2RlOjMz",None,,"140,2707","Word Break II,Extra Characters in a String",,"Given a string s and a dictionary of strings wordDict, return true if s can be segmented into a space-separated sequence of one or more dictionary words. Note that the same word in the dictionary may be reused multiple times in the segmentation. "
140,Word Break II,word-break-ii,Hard,53.7,1400045,751684,7402,541,"Hash Table,String,Dynamic Programming,Backtracking,Trie,Memoization","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjI3,VG9waWNUYWdOb2RlOjMz",None,,"139,472","Word Break,Concatenated Words",,"Given a string s and a dictionary of strings wordDict, add spaces in s to construct a sentence where each word is a valid dictionary word. Return all such possible sentences in any order. Note that the same word in the dictionary may be reused multiple times in the segmentation. "
141,Linked List Cycle,linked-list-cycle,Easy,52.6,7621987,4010974,16555,1509,"Hash Table,Linked List,Two Pointers","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=",None,,"142,202","Linked List Cycle II,Happy Number",,"Given head, the head of a linked list, determine if the linked list has a cycle in it. There is a cycle in a linked list if there is some node in the list that can be reached again by continuously following the next pointer. Internally, pos is used to denote the index of the node that tail's next pointer is connected to. Note that pos is not passed as a parameter. Return true if there is a cycle in the linked list. Otherwise, return false. "
142,Linked List Cycle II,linked-list-cycle-ii,Medium,55.0,3027355,1666016,14395,1029,"Hash Table,Linked List,Two Pointers","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=",None,,"141,287","Linked List Cycle,Find the Duplicate Number",,"Given the head of a linked list, return the node where the cycle begins. If there is no cycle, return null. There is a cycle in a linked list if there is some node in the list that can be reached again by continuously following the next pointer. Internally, pos is used to denote the index of the node that tail's next pointer is connected to (0-indexed). It is -1 if there is no cycle. Note that pos is not passed as a parameter. Do not modify the linked list. "
143,Reorder List,reorder-list,Medium,62.6,2021562,1265309,11831,461,"Linked List,Two Pointers,Stack,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjMx",None,,"2216,2516","Delete the Middle Node of a Linked List,Take K of Each Character From Left and Right",,You are given the head of a singly linked-list. The list can be represented as: Reorder the list to be on the following form: You may not modify the values in the list's nodes. Only nodes themselves may be changed.
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,73.3,2815324,2064210,8459,225,"Stack,Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",None,,"94,255,775,2583","Binary Tree Inorder Traversal,Verify Preorder Sequence in Binary Search Tree,N-ary Tree Preorder Traversal,Kth Largest Sum in a Binary Tree",,"Given the root of a binary tree, return the preorder traversal of its nodes' values. "
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,75.8,2186972,1658389,7444,217,"Stack,Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",None,,"94,776,2477","Binary Tree Inorder Traversal,N-ary Tree Postorder Traversal,Minimum Fuel Cost to Report to the Capital",,"Given the root of a binary tree, return the postorder traversal of its nodes' values. "
146,LRU Cache,lru-cache,Medium,45.3,4738117,2145223,21960,1141,"Hash Table,Linked List,Design,Doubly-Linked List","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDU4",None,,"460,588,604,1903","LFU Cache,Design In-Memory File System,Design Compressed String Iterator,Design Most Recently Used Queue",,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class: The functions get and put must each run in O(1) average time complexity.
147,Insertion Sort List,insertion-sort-list,Medium,56.5,762343,430853,3268,874,"Linked List,Sorting","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjYxMDQ5",None,,"148,850","Sort List,Insert into a Sorted Circular Linked List",,"Given the head of a singly linked list, sort the list using insertion sort, and return the sorted list's head. The steps of the insertion sort algorithm: The following is a graphical example of the insertion sort algorithm. The partially sorted list (black) initially contains only the first element in the list. One element (red) is removed from the input data and inserted in-place into the sorted list with each iteration. "
148,Sort List,sort-list,Medium,61.9,1704076,1054786,12377,390,"Linked List,Two Pointers,Divide and Conquer,Sorting,Merge Sort","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUx",None,,"21,75,147,1992","Merge Two Sorted Lists,Sort Colors,Insertion Sort List,Sort Linked List Already Sorted Using Absolute Values",,"Given the head of a linked list, return the list after sorting it in ascending order. "
149,Max Points on a Line,max-points-on-a-line,Hard,29.0,1612523,467742,4370,554,"Array,Hash Table,Math,Geometry","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjM4",None,,"356,2287,2280,3404","Line Reflection,Minimum Number of Lines to Cover Points,Minimum Lines to Represent a Line Chart,Count Special Subsequences",,"Given an array of points where points[i] = [xi, yi] represents a point on the X-Y plane, return the maximum number of points that lie on the same straight line. "
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,55.0,2565410,1411453,8166,1151,"Array,Math,Stack","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE1",None,,"224,282","Basic Calculator,Expression Add Operators",,You are given an array of strings tokens that represents an arithmetic expression in a Reverse Polish Notation. Evaluate the expression. Return an integer that represents the value of the expression. Note that:
151,Reverse Words in a String,reverse-words-in-a-string,Medium,52.1,4611880,2401065,9517,5389,"Two Pointers,String","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw",None,,186,Reverse Words in a String II,,"Given an input string s, reverse the order of the words. A word is defined as a sequence of non-space characters. The words in s will be separated by at least one space. Return a string of the words in reverse order concatenated by a single space. Note that s may contain leading or trailing spaces or multiple spaces between two words. The returned string should only have a single space separating the words. Do not include any extra spaces. "
152,Maximum Product Subarray,maximum-product-subarray,Medium,35.0,4762478,1665746,19481,786,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",None,,"53,198,238,628,713","Maximum Subarray,House Robber,Product of Array Except Self,Maximum Product of Three Numbers,Subarray Product Less Than K",,"Given an integer array nums, find a subarray that has the largest product, and return the product. The test cases are generated so that the answer will fit in a 32-bit integer. "
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,52.7,4688971,2470757,14301,626,"Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",None,"Array was originally in ascending order. Now that the array is rotated, there would be a point in the array where there is a small deflection from the increasing sequence. eg. The array would be something like [4, 5, 6, 7, 0, 1, 2]. You can divide the search space into two and see which direction to go.
Can you think of an algorithm which has O(logN) search complexity? All the elements to the left of inflection point > first element of the array.
All the elements to the right of inflection point < first element of the array.","33,154","Search in Rotated Sorted Array,Find Minimum in Rotated Sorted Array II",,"Suppose an array of length n sorted in ascending order is rotated between 1 and n times. For example, the array nums = [0,1,2,4,5,6,7] might become: Notice that rotating an array [a[0], a[1], a[2], ..., a[n-1]] 1 time results in the array [a[n-1], a[0], a[1], a[2], ..., a[n-2]]. Given the sorted rotated array nums of unique elements, return the minimum element of this array. You must write an algorithm that runs in O(log n) time. "
154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,44.1,1213172,535252,4898,505,"Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",None,,153,Find Minimum in Rotated Sorted Array,,"Suppose an array of length n sorted in ascending order is rotated between 1 and n times. For example, the array nums = [0,1,4,4,5,6,7] might become: Notice that rotating an array [a[0], a[1], a[2], ..., a[n-1]] 1 time results in the array [a[n-1], a[0], a[1], a[2], ..., a[n-2]]. Given the sorted rotated array nums that may contain duplicates, return the minimum element of this array. You must decrease the overall operation steps as much as possible. "
155,Min Stack,min-stack,Medium,56.5,3953606,2233774,15154,953,"Stack,Design","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjI1",None,Consider each node in the stack having a minimum value. (Credits to @aakarshmadhavan),"239,716","Sliding Window Maximum,Max Stack",,"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time. Implement the MinStack class: You must implement a solution with O(1) time complexity for each function. "
156,Binary Tree Upside Down,binary-tree-upside-down,Medium,64.5,174502,112589,287,381,"Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",None,,206,Reverse Linked List,,
157,Read N Characters Given Read4,read-n-characters-given-read4,Easy,42.3,481507,203504,595,3578,"String,Simulation,Interactive","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1,VG9waWNUYWdOb2RlOjYxMDU5",None,,158,Read N Characters Given read4 II - Call Multiple Times,,
158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,42.9,447848,192204,879,1817,"String,Simulation,Interactive","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1,VG9waWNUYWdOb2RlOjYxMDU5",None,,157,Read N Characters Given Read4,,
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,56.5,508857,287503,2255,37,"Hash Table,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx",None,,"3,239,340,1034","Longest Substring Without Repeating Characters,Sliding Window Maximum,Longest Substring with At Most K Distinct Characters,Subarrays with K Different Integers",,
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,61.2,3277949,2006710,15837,1444,"Hash Table,Linked List,Two Pointers","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=",None,,599,Minimum Index Sum of Two Lists,,"Given the heads of two singly linked-lists headA and headB, return the node at which the two lists intersect. If the two linked lists have no intersection at all, return null. For example, the following two linked lists begin to intersect at node c1: The test cases are generated such that there are no cycles anywhere in the entire linked structure. Note that the linked lists must retain their original structure after the function returns. Custom Judge: The inputs to the judge are given as follows (your program is not given these inputs): The judge will then create the linked structure based on these inputs and pass the two heads, headA and headB to your program. If you correctly return the intersected node, then your solution will be accepted. "
161,One Edit Distance,one-edit-distance,Medium,34.5,655987,226187,1428,192,"Two Pointers,String","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw",None,,72,Edit Distance,,
162,Find Peak Element,find-peak-element,Medium,46.5,4236263,1970421,13446,4850,"Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",None,,"882,2047,2273,2316,2951","Peak Index in a Mountain Array,Find a Peak Element II,Pour Water Between Buckets to Make Water Levels Equal,Count Hills and Valleys in an Array,Find the Peaks",,"A peak element is an element that is strictly greater than its neighbors. Given a 0-indexed integer array nums, find a peak element, and return its index. If the array contains multiple peaks, return the index to any of the peaks. You may imagine that nums[-1] = nums[n] = -∞. In other words, an element is always considered to be strictly greater than a neighbor that is outside the array. You must write an algorithm that runs in O(log n) time. "
163,Missing Ranges,missing-ranges,Easy,35.3,831605,293415,1162,3013,Array,VG9waWNUYWdOb2RlOjU=,None,,"228,2655","Summary Ranges,Find Maximal Uncovered Ranges",,
164,Maximum Gap,maximum-gap,Medium,49.4,565048,279244,3444,423,"Array,Sorting,Bucket Sort,Radix Sort","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDYw,VG9waWNUYWdOb2RlOjYxMDYx",None,,"1742,2274","Widest Vertical Area Between Two Points Containing No Points,Maximum Consecutive Floors Without Special Floors",,"Given an integer array nums, return the maximum difference between two successive elements in its sorted form. If the array contains less than two elements, return 0. You must write an algorithm that runs in linear time and uses linear extra space. "
165,Compare Version Numbers,compare-version-numbers,Medium,42.4,1298853,550519,2776,2761,"Two Pointers,String","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw",None,You can use two pointers for each version string to traverse them together while comparing the corresponding segments. Utilize the substring method to extract each version segment delimited by '.'. Ensure you're extracting the segments correctly by adjusting the start and end indices accordingly.,,,,"Given two version strings, version1 and version2, compare them. A version string consists of revisions separated by dots '.'. The value of the revision is its integer conversion ignoring leading zeros. To compare version strings, compare their revision values in left-to-right order. If one of the version strings has fewer revisions, treat the missing revision values as 0. Return the following: "
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,26.2,982276,257827,2183,3741,"Hash Table,Math,String","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw",None,"No scary math, just apply elementary math knowledge. Still remember how to perform a long division? Try a long division on 4/9, the repeating part is obvious. Now try 4/333. Do you see a pattern? Notice that once the remainder starts repeating, so does the divided result. Be wary of edge cases! List out as many test cases as you can think of and test your code thoroughly.",,,,"Given two integers representing the numerator and denominator of a fraction, return the fraction in string format. If the fractional part is repeating, enclose the repeating part in parentheses. If multiple answers are possible, return any of them. It is guaranteed that the length of the answer string is less than 104 for all the given inputs. "
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,63.4,4334268,2749801,12604,1474,"Array,Two Pointers,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx",None,,"1,653,1083","Two Sum,Two Sum IV - Input is a BST,Two Sum Less Than K",,"Given a 1-indexed array of integers numbers that is already sorted in non-decreasing order, find two numbers such that they add up to a specific target number. Let these two numbers be numbers[index1] and numbers[index2] where 1 <= index1 < index2 <= numbers.length. Return the indices of the two numbers, index1 and index2, added by one as an integer array [index1, index2] of length 2. The tests are generated such that there is exactly one solution. You may not use the same element twice. Your solution must use only constant extra space. "
168,Excel Sheet Column Title,excel-sheet-column-title,Easy,43.6,1455915,635360,5837,880,"Math,String","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw",None,,"171,2304,3484","Excel Sheet Column Number,Cells in a Range on an Excel Sheet,Design Spreadsheet",,"Given an integer columnNumber, return its corresponding column title as it appears in an Excel sheet. For example: "
169,Majority Element,majority-element,Easy,65.8,6650257,4372781,21098,740,"Array,Hash Table,Divide and Conquer,Sorting,Counting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDYy",None,,"229,1102,2404,2780,3065,3527,3438","Majority Element II,Check If a Number Is Majority Element in a Sorted Array,Most Frequent Even Element,Minimum Index of a Valid Split,Minimum Operations to Exceed Threshold Value I,Find the Most Common Response,Find Valid Pair of Adjacent Digits in String",,"Given an array nums of size n, return the majority element. The majority element is the element that appears more than ⌊n / 2⌋ times. You may assume that the majority element always exists in the array. "
170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,38.7,441030,170635,691,457,"Array,Hash Table,Two Pointers,Design,Data Stream","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDYz",None,,"1,288,653","Two Sum,Unique Word Abbreviation,Two Sum IV - Input is a BST",,
171,Excel Sheet Column Number,excel-sheet-column-number,Easy,65.8,1211840,797346,4940,389,"Math,String","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw",None,,"168,2304","Excel Sheet Column Title,Cells in a Range on an Excel Sheet",,"Given a string columnTitle that represents the column title as appears in an Excel sheet, return its corresponding column number. For example: "
172,Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,44.9,1258757,564970,3374,1975,Math,VG9waWNUYWdOb2RlOjg=,None,,"233,809,2222,2245","Number of Digit One,Preimage Size of Factorial Zeroes Function,Abbreviating the Product of a Range,Maximum Trailing Zeros in a Cornered Path",,"Given an integer n, return the number of trailing zeroes in n!. Note that n! = n * (n - 1) * (n - 2) * ... * 3 * 2 * 1. "
173,Binary Search Tree Iterator,binary-search-tree-iterator,Medium,74.9,1294557,969999,8947,553,"Stack,Tree,Design,Binary Search Tree,Binary Tree,Iterator","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3,VG9waWNUYWdOb2RlOjYxMDY0",None,,"94,251,281,284,285,1729","Binary Tree Inorder Traversal,Flatten 2D Vector,Zigzag Iterator,Peeking Iterator,Inorder Successor in BST,Binary Search Tree Iterator II",,"Implement the BSTIterator class that represents an iterator over the in-order traversal of a binary search tree (BST): Notice that by initializing the pointer to a non-existent smallest number, the first call to next() will return the smallest element in the BST. You may assume that next() calls will always be valid. That is, there will be at least a next number in the in-order traversal when next() is called. "
174,Dungeon Game,dungeon-game,Hard,39.5,660351,260998,6029,116,"Array,Dynamic Programming,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUz",None,,"62,64,741,2304,2354,2435,2510","Unique Paths,Minimum Path Sum,Cherry Pickup,Minimum Path Cost in a Grid,Minimum Health to Beat Game,Paths in Matrix Whose Sum Is Divisible by K,Check if There is a Path With Equal Number of 0's And 1's",,"The demons had captured the princess and imprisoned her in the bottom-right corner of a dungeon. The dungeon consists of m x n rooms laid out in a 2D grid. Our valiant knight was initially positioned in the top-left room and must fight his way through dungeon to rescue the princess. The knight has an initial health point represented by a positive integer. If at any point his health point drops to 0 or below, he dies immediately. Some of the rooms are guarded by demons (represented by negative integers), so the knight loses health upon entering these rooms; other rooms are either empty (represented as 0) or contain magic orbs that increase the knight's health (represented by positive integers). To reach the princess as quickly as possible, the knight decides to move only rightward or downward in each step. Return the knight's minimum initial health so that he can rescue the princess. Note that any room can contain threats or power-ups, even the first room the knight enters and the bottom-right room where the princess is imprisoned. "
175,Combine Two Tables,combine-two-tables,Easy,78.1,1697400,1325783,3805,235,Database,VG9waWNUYWdOb2RlOjYxMDQz,None,,577,Employee Bonus,,"Table: Person  Table: Address  Write a solution to report the first name, last name, city, and state of each person in the Person table. If the address of a personId is not present in the Address table, report null instead. Return the result table in any order. The result format is in the following example. "
176,Second Highest Salary,second-highest-salary,Medium,43.9,2676121,1175911,3875,993,Database,VG9waWNUYWdOb2RlOjYxMDQz,None,,,,,"Table: Employee  Write a solution to find the second highest distinct salary from the Employee table. If there is no second highest salary, return null (return None in Pandas). The result format is in the following example. "
177,Nth Highest Salary,nth-highest-salary,Medium,38.1,1328873,505662,2136,1094,Database,VG9waWNUYWdOb2RlOjYxMDQz,None,,2336,The Number of Users That Are Eligible for Discount,,"Table: Employee  Write a solution to find the nth highest distinct salary from the Employee table. If there are less than n distinct salaries, return null. The result format is in the following example. "
178,Rank Scores,rank-scores,Medium,65.4,779737,509656,2299,285,Database,VG9waWNUYWdOb2RlOjYxMDQz,None,,,,,Table: Scores  Write a solution to find the rank of the scores. The ranking should be calculated according to the following rules: Return the result table ordered by score in descending order. The result format is in the following example.
179,Largest Number,largest-number,Medium,41.3,1754887,725100,9125,777,"String,Greedy,Sorting","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",None,,"2284,3270","Smallest Value of the Rearranged Number,Find the Key of the Numbers",,"Given a list of non-negative integers nums, arrange them such that they form the largest number and return it. Since the result may be very large, so you need to return a string instead of an integer. "
180,Consecutive Numbers,consecutive-numbers,Medium,46.1,1238164,571295,2420,342,Database,VG9waWNUYWdOb2RlOjYxMDQz,None,,,,,Table: Logs  Find all numbers that appear at least three times consecutively. Return the result table in any order. The result format is in the following example.
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,71.6,1173350,839664,2811,279,Database,VG9waWNUYWdOb2RlOjYxMDQz,None,,,,,Table: Employee  Write a solution to find the employees who earn more than their managers. Return the result table in any order. The result format is in the following example.
182,Duplicate Emails,duplicate-emails,Easy,72.5,1205891,873893,2242,76,Database,VG9waWNUYWdOb2RlOjYxMDQz,None,,,,,Table: Person  Write a solution to report all the duplicate emails. Note that it's guaranteed that the email field is not NULL. Return the result table in any order. The result format is in the following example.
183,Customers Who Never Order,customers-who-never-order,Easy,70.7,1455546,1028947,2811,146,Database,VG9waWNUYWdOb2RlOjYxMDQz,None,,,,,Table: Customers  Table: Orders  Write a solution to find all customers who never order anything. Return the result table in any order. The result format is in the following example.
184,Department Highest Salary,department-highest-salary,Medium,54.9,917484,503569,2193,198,Database,VG9waWNUYWdOb2RlOjYxMDQz,None,,1214,Highest Grade For Each Student,,Table: Employee  Table: Department  Write a solution to find employees who have the highest salary in each of the departments. Return the result table in any order. The result format is in the following example.
185,Department Top Three Salaries,department-top-three-salaries,Hard,57.8,867103,501431,2343,264,Database,VG9waWNUYWdOb2RlOjYxMDQz,None,,,,,Table: Employee  Table: Department  A company's executives are interested in seeing who earns the most money in each of the company's departments. A high earner in a department is an employee who has a salary in the top three unique salaries for that department. Write a solution to find the employees who are high earners in each of the departments. Return the result table in any order. The result format is in the following example.
186,Reverse Words in a String II,reverse-words-in-a-string-ii,Medium,56.1,311324,174607,1103,145,"Two Pointers,String","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw",None,,"151,189","Reverse Words in a String,Rotate Array",,
187,Repeated DNA Sequences,repeated-dna-sequences,Medium,51.4,891038,457838,3487,556,"Hash Table,String,Bit Manipulation,Sliding Window,Rolling Hash,Hash Function","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjU2NTk4,VG9waWNUYWdOb2RlOjYxMDY1",None,,,,,"The DNA sequence is composed of a series of nucleotides abbreviated as 'A', 'C', 'G', and 'T'. When studying DNA, it is useful to identify repeated sequences within the DNA. Given a string s that represents a DNA sequence, return all the 10-letter-long sequences (substrings) that occur more than once in a DNA molecule. You may return the answer in any order. "
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,47.2,1270612,599789,7759,218,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",None,,"121,122,123,2291","Best Time to Buy and Sell Stock,Best Time to Buy and Sell Stock II,Best Time to Buy and Sell Stock III,Maximum Profit From Trading Stocks",,"You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k. Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times. Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again). "
