Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Strobogrammatic Number III,strobogrammatic-number-iii,248,,"Array,String,Recursion","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjMx",Hard,42.5,89001,37798,,305,192,,"246,247","Strobogrammatic Number,Strobogrammatic Number II"
Group Shifted Strings,group-shifted-strings,249,,"Array,Hash Table,String","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw",Medium,67.4,441554,297586,,1756,433,,"49,2847","Group Anagrams,Find Maximum Number of String Pairs"
Count Univalue Subtrees,count-univalue-subtrees,250,,"Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,57.2,288441,164926,,1233,451,,"572,687","Subtree of Another Tree,Longest Univalue Path"
Flatten 2D Vector,flatten-2d-vector,251,,"Array,Two Pointers,Design,Iterator","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDY0",Medium,50.1,277573,139194,,734,415,"How many variables do you need to keep track? Two variables is all you need. Try with x and y. Beware of empty rows. It could be the first few rows. To write correct code, think about the invariant to maintain. What is it? The invariant is x and y must always point to a valid point in the 2d vector. Should you maintain your invariant ahead of time or right when you need it? Not sure? Think about how you would implement hasNext(). Which is more complex? Common logic in two different places should be refactored into a common method.","173,281,284,341","Binary Search Tree Iterator,Zigzag Iterator,Peeking Iterator,Flatten Nested List Iterator"
Meeting Rooms,meeting-rooms,252,,"Array,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,59.0,798231,470598,,2084,111,,"56,253,2479,3034","Merge Intervals,Meeting Rooms II,Meeting Rooms III,Points That Intersect With Cars"
Meeting Rooms II,meeting-rooms-ii,253,,"Array,Two Pointers,Greedy,Sorting,Heap (Priority Queue),Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDY4",Medium,52.2,2027195,1057212,,7130,174,"Think about how we would approach this problem in a very simplistic way. We will allocate rooms to meetings that occur earlier in the day v/s the ones that occur later on, right? If you've figured out that we have to sort the meetings by their start time, the next thing to think about is how do we do the allocation? There are two scenarios possible here for any meeting. Either there is no meeting room available and a new one has to be allocated, or a meeting room has freed up and this meeting can take place there. An important thing to note is that we don't really care which room gets freed up while allocating a room for the current meeting. As long as a room is free, our job is done. We already know the rooms we have allocated till now and we also know when are they due to get free because of the end times of the meetings going on in those rooms. We can simply check the room which is due to get vacated the earliest amongst all the allocated rooms. Following up on the previous hint, we can make use of a min-heap to store the end times of the meetings in various rooms. So, every time we want to check if any room is free or not, simply check the topmost element of the min heap as that would be the room that would get free the earliest out of all the other rooms currently occupied.

If the room we extracted from the top of the min heap isn't free, then no other room is. So, we can save time here and simply allocate a new room.","56,252,452,1184,2334,2479,2553,3034","Merge Intervals,Meeting Rooms,Minimum Number of Arrows to Burst Balloons,Car Pooling,Number of Flowers in Full Bloom,Meeting Rooms III,Total Cost to Hire K Workers,Points That Intersect With Cars"
Factor Combinations,factor-combinations,254,,Backtracking,VG9waWNUYWdOb2RlOjE0,Medium,50.2,273004,137181,,1164,75,,39,Combination Sum
Verify Preorder Sequence in Binary Search Tree,verify-preorder-sequence-in-binary-search-tree,255,,"Array,Stack,Tree,Binary Search Tree,Recursion,Monotonic Stack,Binary Tree","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjMx,VG9waWNUYWdOb2RlOjYxMDU0,VG9waWNUYWdOb2RlOjYxMDU3",Medium,51.3,176328,90530,,1250,90,,144,Binary Tree Preorder Traversal
Paint House,paint-house,256,,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Medium,63.7,364117,232095,,2345,132,,"198,213,265,276,1394","House Robber,House Robber II,Paint House II,Paint Fence,Minimum Path Cost in a Grid"
Binary Tree Paths,binary-tree-paths,257,"Given the root of a binary tree, return all root-to-leaf paths in any order. A leaf is a node with no children. ","String,Backtracking,Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Easy,66.6,1322439,881095,,6935,328,,"113,1030,2217","Path Sum II,Smallest String Starting From Leaf,Step-By-Step Directions From a Binary Tree Node to Another"
Add Digits,add-digits,258,"Given an integer num, repeatedly add all its digits until the result has only one digit, and return it. ","Math,Simulation,Number Theory","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDU1,VG9waWNUYWdOb2RlOjYxMDY3",Easy,67.9,1463063,993977,,5133,1958,"A naive implementation of the above process is trivial. Could you come up with other methods? What are all the possible results? How do they occur, periodically or randomly? You may find this Wikipedia article useful.","202,1082,2076,2264,2361,2624,2630","Happy Number,Sum of Digits in the Minimum Number,Sum of Digits of String After Convert,Minimum Sum of Four Digit Number After Splitting Digits,Calculate Digit Sum of a String,Difference Between Element Sum and Digit Sum of an Array,Alternating Digit Sum"
3Sum Smaller,3sum-smaller,259,,"Array,Two Pointers,Binary Search,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,51.0,323632,165045,,1602,166,,"15,16,611,1083,2664,3262","3Sum,3Sum Closest,Valid Triangle Number,Two Sum Less Than K,Maximize Greatness of an Array,Find Polygon With the Largest Perimeter"
Single Number III,single-number-iii,260,"Given an integer array nums, in which exactly two elements appear only once and all the other elements appear exactly twice. Find the two elements that appear only once. You can return the answer in any order. You must write an algorithm that runs in linear runtime complexity and uses only constant extra space. ","Array,Bit Manipulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE5",Medium,70.6,749003,528629,,6586,273,,"136,137,2519,3428","Single Number,Single Number II,Find The Original Array of Prefix Xor,Find the XOR of Numbers Which Appear Twice"
Graph Valid Tree,graph-valid-tree,261,,"Depth-First Search,Breadth-First Search,Union Find,Graph","VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjIz,VG9waWNUYWdOb2RlOjI0",Medium,49.4,979748,483513,,3401,109,"Given n = 5 and edges = [[0, 1], [1, 2], [3, 4]], what should your return? Is this case a valid tree? According to the definition of tree on Wikipedia: “a tree is an undirected graph in which any two vertices are connected by exactly one path. In other words, any connected graph without simple cycles is a tree.”","207,323,871","Course Schedule,Number of Connected Components in an Undirected Graph,Keys and Rooms"
Trips and Users,trips-and-users,262,"Table: Trips  Table: Users  The cancellation rate is computed by dividing the number of canceled (by client or driver) requests with unbanned users by the total number of requests with unbanned users on that day. Write a solution to find the cancellation rate of requests with unbanned users (both client and driver must not be banned) each day between ""2013-10-01"" and ""2013-10-03"" with at least one trip. Round Cancellation Rate to two decimal points. Return the result table in any order. The result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,37.1,633378,234675,,1328,689,,"1779,1785,1795","Hopper Company Queries I,Hopper Company Queries II,Hopper Company Queries III"
Ugly Number,ugly-number,263,"An ugly number is a positive integer which does not have a prime factor other than 2, 3, and 5. Given an integer n, return true if n is an ugly number. ",Math,VG9waWNUYWdOb2RlOjg=,Easy,42.3,1515536,641787,,3609,1758,,"202,204,264","Happy Number,Count Primes,Ugly Number II"
Ugly Number II,ugly-number-ii,264,"An ugly number is a positive integer whose prime factors are limited to 2, 3, and 5. Given an integer n, return the nth ugly number. ","Hash Table,Math,Dynamic Programming,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUw",Medium,49.3,1001697,493461,,6704,423,"The naive approach is to call isUgly for every number until you reach the nth one. Most numbers are not ugly. Try to focus your effort on generating only the ugly ones. An ugly number must be multiplied by either 2, 3, or 5 from a smaller ugly number. The key is how to maintain the order of the ugly numbers. Try a similar approach of merging from three sorted lists: L1, L2, and L3. Assume you have Uk, the kth ugly number. Then Uk+1 must be Min(L1 * 2, L2 * 3, L3 * 5).","23,204,263,279,313,1307","Merge k Sorted Lists,Count Primes,Ugly Number,Perfect Squares,Super Ugly Number,Ugly Number III"
Paint House II,paint-house-ii,265,,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Hard,56.4,244140,137760,,1334,39,,"238,239,256,276","Product of Array Except Self,Sliding Window Maximum,Paint House,Paint Fence"
Palindrome Permutation,palindrome-permutation,266,,"Hash Table,String,Bit Manipulation","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE5",Easy,68.5,332282,227661,,1096,73,"Consider the palindromes of odd vs even length. What difference do you notice? Count the frequency of each character. If each character occurs even number of times, then it must be a palindrome. How about character which occurs odd number of times?","5,242,267,409","Longest Palindromic Substring,Valid Anagram,Palindrome Permutation II,Longest Palindrome"
Palindrome Permutation II,palindrome-permutation-ii,267,,"Hash Table,String,Backtracking","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0",Medium,42.1,175432,73912,,895,97,"If a palindromic permutation exists, we just need to generate the first half of the string. To generate all distinct permutations of a (half of) string, use a similar approach from: Permutations II or Next Permutation.","31,47,266","Next Permutation,Permutations II,Palindrome Permutation"
Missing Number,missing-number,268,"Given an array nums containing n distinct numbers in the range [0, n], return the only number in the range that is missing from the array. ","Array,Hash Table,Math,Binary Search,Bit Manipulation,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,70.1,4446252,3118160,,13222,3418,,"41,136,287,770,2107,3705","First Missing Positive,Single Number,Find the Duplicate Number,Couples Holding Hands,Find Unique Binary String,Find the Largest Almost Missing Integer"
Alien Dictionary,alien-dictionary,269,,"Array,String,Depth-First Search,Breadth-First Search,Graph,Topological Sort","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjI2",Hard,36.7,1219199,447237,,4598,1024,,210,Course Schedule II
Closest Binary Search Tree Value,closest-binary-search-tree-value,270,,"Binary Search,Tree,Depth-First Search,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Easy,49.7,851339,423442,,1873,161,,"222,272,783,2567","Count Complete Tree Nodes,Closest Binary Search Tree Value II,Search in a Binary Search Tree,Closest Nodes Queries in a Binary Search Tree"
Encode and Decode Strings,encode-and-decode-strings,271,,"Array,String,Design","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1",Medium,49.7,524805,261021,,1532,440,,"38,297,443,696","Count and Say,Serialize and Deserialize Binary Tree,String Compression,Count Binary Substrings"
Closest Binary Search Tree Value II,closest-binary-search-tree-value-ii,272,,"Two Pointers,Stack,Tree,Depth-First Search,Binary Search Tree,Heap (Priority Queue),Binary Tree","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDU3",Hard,60.3,216321,130385,,1320,49,"Consider implement these two helper functions:
getPredecessor(N), which returns the next smaller node to N.
getSuccessor(N), which returns the next larger node to N. Try to assume that each node has a parent pointer, it makes the problem much easier. Without parent pointer we just need to keep track of the path from the root to the current node using a stack. You would need two stacks to track the path in finding predecessor and successor node separately.","94,270,2567","Binary Tree Inorder Traversal,Closest Binary Search Tree Value,Closest Nodes Queries in a Binary Search Tree"
Integer to English Words,integer-to-english-words,273,Convert a non-negative integer num to its English words representation. ,"Math,String,Recursion","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjMx",Hard,34.4,1588641,546020,,3742,6796,"Did you see a pattern in dividing the number into chunk of words? For example, 123 and 123000. Group the number by thousands (3 digits). You can write a helper function that takes a number less than 1000 and convert just that chunk to words. There are many edge cases. What are some good test cases? Does your code work with input such as 0? Or 1000010? (middle chunk is zero and should not be printed out)",12,Integer to Roman
H-Index,h-index,274,"Given an array of integers citations where citations[i] is the number of citations a researcher received for their ith paper, return the researcher's h-index. According to the definition of h-index on Wikipedia: The h-index is defined as the maximum value of h such that the given researcher has published at least h papers that have each been cited at least h times. ","Array,Sorting,Counting Sort","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDcy",Medium,40.3,1814288,731532,,1680,811,An easy approach is to sort the array first. What are the possible values of h-index? A faster approach is to use extra space.,275,H-Index II
H-Index II,h-index-ii,275,"Given an array of integers citations where citations[i] is the number of citations a researcher received for their ith paper and citations is sorted in non-descending order, return the researcher's h-index. According to the definition of h-index on Wikipedia: The h-index is defined as the maximum value of h such that the given researcher has published at least h papers that have each been cited at least h times. You must write an algorithm that runs in logarithmic time. ","Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",Medium,38.8,619545,240644,,460,134,Expected runtime complexity is in O(log n) and the input is sorted.,274,H-Index
Paint Fence,paint-fence,276,,Dynamic Programming,VG9waWNUYWdOb2RlOjEz,Medium,47.8,258849,123626,,1616,395,,"198,213,256,265","House Robber,House Robber II,Paint House,Paint House II"
Find the Celebrity,find-the-celebrity,277,,"Two Pointers,Graph,Interactive","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjYxMDU5",Medium,48.4,628522,304509,,2951,315,"The best hint for this problem can be provided by the following figure: Well, if you understood the gist of the above idea, you can extend it to find a candidate that can possibly be a celebrity. Why do we say a ""candidate""? That is for you to think. This is clearly a greedy approach to find the answer. However, there is some information that would still remain to be verified without which we can't obtain an answer with certainty. To get that stake in the ground, we would need some more calls to the knows API.",1039,Find the Town Judge
First Bad Version,first-bad-version,278,"You are a product manager and currently leading a team to develop a new product. Unfortunately, the latest version of your product fails the quality check. Since each version is developed based on the previous version, all the versions after a bad version are also bad. Suppose you have n versions [1, 2, ..., n] and you want to find out the first bad one, which causes all the following ones to be bad. You are given an API bool isBadVersion(version) which returns whether version is bad. Implement a function to find the first bad version. You should minimize the number of calls to the API. ","Binary Search,Interactive","VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDU5",Easy,46.0,4248062,1952032,,8715,3383,,"34,35,374","Find First and Last Position of Element in Sorted Array,Search Insert Position,Guess Number Higher or Lower"
Perfect Squares,perfect-squares,279,"Given an integer n, return the least number of perfect square numbers that sum to n. A perfect square is an integer that is the square of an integer; in other words, it is the product of some integer with itself. For example, 1, 4, 9, and 16 are perfect squares while 3 and 11 are not. ","Math,Dynamic Programming,Breadth-First Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjIy",Medium,55.7,1733650,965581,,11542,483,,"204,264,2882","Count Primes,Ugly Number II,Ways to Express an Integer as Sum of Powers"
Wiggle Sort,wiggle-sort,280,,"Array,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,68.2,224271,153020,,1237,103,,"75,324,2085","Sort Colors,Wiggle Sort II,Array With Elements Not Equal to Average of Neighbors"
Zigzag Iterator,zigzag-iterator,281,,"Array,Design,Queue,Iterator","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0,VG9waWNUYWdOb2RlOjYxMDY0",Medium,65.8,160206,105387,,698,41,,"173,251,284,341,1894","Binary Search Tree Iterator,Flatten 2D Vector,Peeking Iterator,Flatten Nested List Iterator,Merge Strings Alternately"
Expression Add Operators,expression-add-operators,282,"Given a string num that contains only digits and an integer target, return all possibilities to insert the binary operators '+', '-', and/or '*' between the digits of num so that the resultant expression evaluates to the target value. Note that operands in the returned expressions should not contain leading zeros. ","Math,String,Backtracking","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0",Hard,41.7,672522,280574,,3618,691,"Note that a number can contain multiple digits. Since the question asks us to find all of the valid expressions, we need a way to iterate over all of them. (Hint: Recursion!) We can keep track of the expression string and evaluate it at the very end. But that would take a lot of time. Can we keep track of the expression's value as well so as to avoid the evaluation at the very end of recursion? Think carefully about the multiply operator. It has a higher precedence than the addition and subtraction operators.

 1 + 2 = 3
1 + 2 - 4 --> 3 - 4 --> -1
1 + 2 - 4 * 12 --> -1 * 12 --> -12 (WRONG!)
1 + 2 - 4 * 12 --> -1 - (-4) + (-4 * 12) --> 3 + (-48) --> -45 (CORRECT!) We simply need to keep track of the last operand in our expression and reverse it's effect on the expression's value while considering the multiply operator.","150,224,227,241,494","Evaluate Reverse Polish Notation,Basic Calculator,Basic Calculator II,Different Ways to Add Parentheses,Target Sum"
Move Zeroes,move-zeroes,283,"Given an integer array nums, move all 0's to the end of it while maintaining the relative order of the non-zero elements. Note that you must do this in-place without making a copy of the array. ","Array,Two Pointers","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=",Easy,62.8,6560210,4121629,,17998,531,"In-place means we should not be allocating any space for extra array. But we are allowed to modify the existing array. However, as a first step, try coming up with a solution that makes use of additional space. For this problem as well, first apply the idea discussed using an additional array and the in-place solution will pop up eventually. A two-pointer approach could be helpful here. The idea would be to have one pointer for iterating the array and another pointer that just works on the non-zero elements of the array.","27,2551","Remove Element,Apply Operations to an Array"
Peeking Iterator,peeking-iterator,284,"Design an iterator that supports the peek operation on an existing iterator in addition to the hasNext and the next operations. Implement the PeekingIterator class: Note: Each language may have a different implementation of the constructor and Iterator, but they all support the int next() and boolean hasNext() functions. ","Array,Design,Iterator","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDY0",Medium,60.4,395189,238562,,1886,1045,"Think of ""looking ahead"". You want to cache the next element. Is one variable sufficient? Why or why not? Test your design with call order of peek() before next() vs next() before peek(). For a clean implementation, check out Google's guava library source code.","173,251,281","Binary Search Tree Iterator,Flatten 2D Vector,Zigzag Iterator"
Inorder Successor in BST,inorder-successor-in-bst,285,,"Tree,Depth-First Search,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Medium,50.7,703905,356712,,2607,93,,"94,173,509","Binary Tree Inorder Traversal,Binary Search Tree Iterator,Inorder Successor in BST II"
Walls and Gates,walls-and-gates,286,,"Array,Breadth-First Search,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDUz",Medium,63.0,611744,385330,,3256,71,,"130,200,317,419,865,1036,3271,3310","Surrounded Regions,Number of Islands,Shortest Distance from All Buildings,Battleships in a Board,Robot Room Cleaner,Rotting Oranges,Count the Number of Houses at a Certain Distance I,Count the Number of Houses at a Certain Distance II"
Find the Duplicate Number,find-the-duplicate-number,287,"Given an array of integers nums containing n + 1 integers where each integer is in the range [1, n] inclusive. There is only one repeated number in nums, return this repeated number. You must solve the problem without modifying the array nums and using only constant extra space. ","Array,Two Pointers,Binary Search,Bit Manipulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjE5",Medium,62.9,3469733,2181794,,24423,5292,,"41,136,142,268,645","First Missing Positive,Single Number,Linked List Cycle II,Missing Number,Set Mismatch"
Unique Word Abbreviation,unique-word-abbreviation,288,,"Array,Hash Table,String,Design","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1",Medium,27.1,287343,77780,,212,1848,,"170,320","Two Sum III - Data structure design,Generalized Abbreviation"
Game of Life,game-of-life,289,"According to Wikipedia's article: ""The Game of Life, also known simply as Life, is a cellular automaton devised by the British mathematician John Horton Conway in 1970."" The board is made up of an m x n grid of cells, where each cell has an initial state: live (represented by a 1) or dead (represented by a 0). Each cell interacts with its eight neighbors (horizontal, vertical, diagonal) using the following four rules (taken from the above Wikipedia article): The next state of the board is determined by applying the above rules simultaneously to every cell in the current state of the m x n grid board. In this process, births and deaths occur simultaneously. Given the current state of the board, update the board to reflect its next state. Note that you do not need to return anything. ","Array,Matrix,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDU1",Medium,71.4,802807,573573,,6632,603,,73,Set Matrix Zeroes
Word Pattern,word-pattern,290,"Given a pattern and a string s, find if s follows the same pattern. Here follow means a full match, such that there is a bijection between a letter in pattern and a non-empty word in s. Specifically: ","Hash Table,String","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw",Easy,43.1,2208666,951552,,7657,1099,,"205,291,926","Isomorphic Strings,Word Pattern II,Find and Replace Pattern"
Word Pattern II,word-pattern-ii,291,,"Hash Table,String,Backtracking","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0",Medium,48.6,167660,81499,,934,75,,290,Word Pattern
Nim Game,nim-game,292,"You are playing the following Nim Game with your friend: Given n, the number of stones in the heap, return true if you can win the game assuming both you and your friend play optimally, otherwise return false. ","Math,Brainteaser,Game Theory","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjMy,VG9waWNUYWdOb2RlOjYxMDcz",Easy,58.2,788311,458474,,1847,2722,"If there are 5 stones in the heap, could you figure out a way to remove the stones such that you will always be the winner?",294,Flip Game II
Flip Game,flip-game,293,,String,VG9waWNUYWdOb2RlOjEw,Easy,64.9,119026,77232,,230,472,,294,Flip Game II
Flip Game II,flip-game-ii,294,,"Math,Dynamic Programming,Backtracking,Memoization,Game Theory","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjMz,VG9waWNUYWdOb2RlOjYxMDcz",Medium,52.2,141851,74041,,626,66,,"292,293,375,464","Nim Game,Flip Game,Guess Number Higher or Lower II,Can I Win"
Find Median from Data Stream,find-median-from-data-stream,295,"The median is the middle value in an ordered integer list. If the size of the list is even, there is no middle value, and the median is the mean of the two middle values. Implement the MedianFinder class: ","Two Pointers,Design,Sorting,Heap (Priority Queue),Data Stream","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDYz",Hard,53.3,1919253,1023421,,12612,268,,"480,1953,2207,3387,3698,3717","Sliding Window Median,Finding MK Average,Sequentially Ordinal Rank Tracker,Minimum Operations to Make Median of Array Equal to K,Minimum Operations to Make Subarray Elements Equal,Minimum Operations to Make Elements Within K Subarrays Equal"
Best Meeting Point,best-meeting-point,296,,"Array,Math,Sorting,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUz",Hard,61.3,151301,92684,,1202,107,Try to solve it in one dimension first. How can this solution apply to the two dimension case?,"317,462","Shortest Distance from All Buildings,Minimum Moves to Equal Array Elements II"
Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,297,"Serialization is the process of converting a data structure or object into a sequence of bits so that it can be stored in a file or memory buffer, or transmitted across a network connection link to be reconstructed later in the same or another computer environment. Design an algorithm to serialize and deserialize a binary tree. There is no restriction on how your serialization/deserialization algorithm should work. You just need to ensure that a binary tree can be serialized to a string and this string can be deserialized to the original tree structure. Clarification: The input/output format is the same as how LeetCode serializes a binary tree. You do not necessarily need to follow this format, so please be creative and come up with different approaches yourself. ","String,Tree,Depth-First Search,Breadth-First Search,Design,Binary Tree","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDU3",Hard,59.0,1773696,1046975,,10676,415,,"271,449,652,765","Encode and Decode Strings,Serialize and Deserialize BST,Find Duplicate Subtrees,Serialize and Deserialize N-ary Tree"
Binary Tree Longest Consecutive Sequence,binary-tree-longest-consecutive-sequence,298,,"Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,54.1,289010,156414,,1156,238,,"128,549,1416","Longest Consecutive Sequence,Binary Tree Longest Consecutive Sequence II,Check if an Array Is Consecutive"
Bulls and Cows,bulls-and-cows,299,"You are playing the Bulls and Cows game with your friend. You write down a secret number and ask your friend to guess what the number is. When your friend makes a guess, you provide a hint with the following info: Given the secret number secret and your friend's guess guess, return the hint for your friend's guess. The hint should be formatted as ""xAyB"", where x is the number of bulls and y is the number of cows. Note that both secret and guess may contain duplicate digits. ","Hash Table,String,Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDYy",Medium,51.4,802938,412801,,2550,1805,,2615,Make Number of Distinct Characters Equal
